# zipcode,population,num_incidents
1.220300000000000000e+04,2.995200000000000000e+04,4.000000000000000000e+00
1.485000000000000000e+04,6.388600000000000000e+04,1.000000000000000000e+00
1.051000000000000000e+04,9.988000000000000000e+03,1.000000000000000000e+00
1.051400000000000000e+04,1.194600000000000000e+04,1.000000000000000000e+00
1.308800000000000000e+04,2.215600000000000000e+04,1.000000000000000000e+00
1.421100000000000000e+04,2.261100000000000000e+04,1.000000000000000000e+00
1.421000000000000000e+04,1.469400000000000000e+04,2.100000000000000000e+01
1.421700000000000000e+04,2.348000000000000000e+04,2.000000000000000000e+00
1.259000000000000000e+04,3.510200000000000000e+04,2.000000000000000000e+00
1.100400000000000000e+04,1.401600000000000000e+04,7.721000000000000000e+03
1.121500000000000000e+04,6.348800000000000000e+04,4.749800000000000000e+04
1.052300000000000000e+04,7.444000000000000000e+03,1.600000000000000000e+01
1.052200000000000000e+04,1.087500000000000000e+04,3.000000000000000000e+00
1.052000000000000000e+04,1.281000000000000000e+04,1.000000000000000000e+00
1.484500000000000000e+04,2.045300000000000000e+04,1.000000000000000000e+00
1.052800000000000000e+04,1.228000000000000000e+04,1.000000000000000000e+00
1.406800000000000000e+04,7.150000000000000000e+03,3.000000000000000000e+00
1.230300000000000000e+04,2.985700000000000000e+04,1.000000000000000000e+00
1.420800000000000000e+04,1.112500000000000000e+04,1.000000000000000000e+00
1.420200000000000000e+04,3.911000000000000000e+03,3.000000000000000000e+00
1.420600000000000000e+04,2.075100000000000000e+04,4.000000000000000000e+00
1.150900000000000000e+04,2.653000000000000000e+03,1.000000000000000000e+00
1.101000000000000000e+04,2.382100000000000000e+04,1.700000000000000000e+01
1.180300000000000000e+04,2.812700000000000000e+04,1.900000000000000000e+01
1.204600000000000000e+04,8.170000000000000000e+02,1.000000000000000000e+00
1.179800000000000000e+04,1.534700000000000000e+04,1.000000000000000000e+00
1.179300000000000000e+04,3.229800000000000000e+04,8.000000000000000000e+00
1.179100000000000000e+04,2.507600000000000000e+04,1.600000000000000000e+01
1.179500000000000000e+04,2.603000000000000000e+04,1.000000000000000000e+00
1.091600000000000000e+04,4.540000000000000000e+03,1.000000000000000000e+00
1.053200000000000000e+04,4.931000000000000000e+03,9.000000000000000000e+00
1.053300000000000000e+04,7.322000000000000000e+03,3.000000000000000000e+00
1.053600000000000000e+04,1.073900000000000000e+04,5.000000000000000000e+00
1.053800000000000000e+04,1.659700000000000000e+04,2.000000000000000000e+00
1.180400000000000000e+04,5.010000000000000000e+03,2.000000000000000000e+00
1.430100000000000000e+04,1.281700000000000000e+04,1.000000000000000000e+00
1.430500000000000000e+04,1.689800000000000000e+04,1.000000000000000000e+00
1.430400000000000000e+04,3.038900000000000000e+04,3.000000000000000000e+00
1.178400000000000000e+04,2.465500000000000000e+04,4.000000000000000000e+00
1.178700000000000000e+04,3.577200000000000000e+04,3.000000000000000000e+00
1.178000000000000000e+04,1.552400000000000000e+04,1.000000000000000000e+00
1.178200000000000000e+04,1.581400000000000000e+04,2.000000000000000000e+00
1.178800000000000000e+04,1.682100000000000000e+04,1.900000000000000000e+01
1.278700000000000000e+04,4.520000000000000000e+02,1.000000000000000000e+00
1.003900000000000000e+04,2.452700000000000000e+04,1.631200000000000000e+04
1.003800000000000000e+04,2.030000000000000000e+04,1.257200000000000000e+04
1.003400000000000000e+04,3.890800000000000000e+04,4.333400000000000000e+04
1.003700000000000000e+04,1.741600000000000000e+04,1.301600000000000000e+04
1.003600000000000000e+04,2.471100000000000000e+04,3.070800000000000000e+04
1.003300000000000000e+04,5.392600000000000000e+04,4.827700000000000000e+04
1.003200000000000000e+04,5.733100000000000000e+04,6.456900000000000000e+04
1.422000000000000000e+04,2.422700000000000000e+04,1.000000000000000000e+00
1.422100000000000000e+04,5.355500000000000000e+04,1.700000000000000000e+01
1.422300000000000000e+04,2.266500000000000000e+04,1.000000000000000000e+00
1.422500000000000000e+04,3.338500000000000000e+04,1.100000000000000000e+01
1.422600000000000000e+04,2.926700000000000000e+04,4.000000000000000000e+00
1.252400000000000000e+04,1.559800000000000000e+04,1.000000000000000000e+00
1.080400000000000000e+04,1.414600000000000000e+04,1.000000000000000000e+00
1.080500000000000000e+04,1.841400000000000000e+04,5.000000000000000000e+00
1.080300000000000000e+04,1.243500000000000000e+04,8.200000000000000000e+01
1.002800000000000000e+04,4.514100000000000000e+04,2.220000000000000000e+04
1.002900000000000000e+04,7.600300000000000000e+04,3.777000000000000000e+04
1.002600000000000000e+04,3.400300000000000000e+04,2.636700000000000000e+04
1.002700000000000000e+04,5.970700000000000000e+04,4.507800000000000000e+04
1.002200000000000000e+04,3.192400000000000000e+04,2.721200000000000000e+04
1.002300000000000000e+04,6.099800000000000000e+04,2.936100000000000000e+04
1.002100000000000000e+04,4.363100000000000000e+04,2.077100000000000000e+04
1.320300000000000000e+04,1.602900000000000000e+04,1.000000000000000000e+00
1.375600000000000000e+04,6.130000000000000000e+02,1.000000000000000000e+00
1.169400000000000000e+04,2.040800000000000000e+04,1.696200000000000000e+04
1.030900000000000000e+04,3.251900000000000000e+04,1.947800000000000000e+04
1.030600000000000000e+04,5.590900000000000000e+04,4.026200000000000000e+04
1.030500000000000000e+04,4.174900000000000000e+04,2.709800000000000000e+04
1.030400000000000000e+04,4.219300000000000000e+04,3.097700000000000000e+04
1.030300000000000000e+04,2.633700000000000000e+04,1.739700000000000000e+04
1.030200000000000000e+04,1.908800000000000000e+04,1.643700000000000000e+04
1.030100000000000000e+04,3.970600000000000000e+04,3.362000000000000000e+04
1.260100000000000000e+04,4.339800000000000000e+04,1.000000000000000000e+00
1.001800000000000000e+04,5.229000000000000000e+03,1.416800000000000000e+04
1.001300000000000000e+04,2.770000000000000000e+04,3.313000000000000000e+04
1.001200000000000000e+04,2.409000000000000000e+04,2.543900000000000000e+04
1.001100000000000000e+04,5.098400000000000000e+04,3.717100000000000000e+04
1.001600000000000000e+04,5.418300000000000000e+04,3.326200000000000000e+04
1.001400000000000000e+04,3.195900000000000000e+04,3.099600000000000000e+04
1.047400000000000000e+04,1.228100000000000000e+04,1.633500000000000000e+04
1.047000000000000000e+04,1.529300000000000000e+04,1.385000000000000000e+04
1.105000000000000000e+04,3.017100000000000000e+04,1.200000000000000000e+01
1.120100000000000000e+04,5.112800000000000000e+04,3.678900000000000000e+04
1.120300000000000000e+04,7.617400000000000000e+04,6.823300000000000000e+04
1.120500000000000000e+04,4.036600000000000000e+04,2.611900000000000000e+04
1.120800000000000000e+04,9.446900000000000000e+04,7.317700000000000000e+04
1.151400000000000000e+04,4.673000000000000000e+03,6.000000000000000000e+00
1.151600000000000000e+04,7.556000000000000000e+03,9.000000000000000000e+00
1.142900000000000000e+04,2.510500000000000000e+04,1.566300000000000000e+04
1.142000000000000000e+04,4.435400000000000000e+04,3.111200000000000000e+04
1.142300000000000000e+04,2.998700000000000000e+04,2.244900000000000000e+04
1.142200000000000000e+04,3.042500000000000000e+04,1.851800000000000000e+04
1.142700000000000000e+04,2.359300000000000000e+04,1.325400000000000000e+04
1.031000000000000000e+04,2.496200000000000000e+04,1.874300000000000000e+04
1.031200000000000000e+04,5.930400000000000000e+04,3.530700000000000000e+04
1.173500000000000000e+04,3.209800000000000000e+04,4.800000000000000000e+01
1.173100000000000000e+04,3.018400000000000000e+04,4.000000000000000000e+00
1.173000000000000000e+04,1.471200000000000000e+04,2.000000000000000000e+00
1.173200000000000000e+04,3.430000000000000000e+03,1.000000000000000000e+00
1.173800000000000000e+04,1.763800000000000000e+04,1.000000000000000000e+00
1.000400000000000000e+04,3.089000000000000000e+03,5.542000000000000000e+03
1.000600000000000000e+04,3.011000000000000000e+03,3.280000000000000000e+03
1.000700000000000000e+04,6.988000000000000000e+03,9.192000000000000000e+03
1.000100000000000000e+04,2.110200000000000000e+04,2.466400000000000000e+04
1.000200000000000000e+04,8.141000000000000000e+04,4.457300000000000000e+04
1.047200000000000000e+04,6.635800000000000000e+04,5.771900000000000000e+04
1.046600000000000000e+04,6.781300000000000000e+04,5.163800000000000000e+04
1.046700000000000000e+04,9.706000000000000000e+04,9.949300000000000000e+04
1.046400000000000000e+04,4.534000000000000000e+03,6.033000000000000000e+03
1.046200000000000000e+04,7.578400000000000000e+04,5.325600000000000000e+04
1.046800000000000000e+04,7.610300000000000000e+04,7.762300000000000000e+04
1.046900000000000000e+04,6.663100000000000000e+04,4.377700000000000000e+04
1.242800000000000000e+04,6.602000000000000000e+03,1.000000000000000000e+00
