name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
136HH,136HH,261,0.084888417,5-Digit ZCTA,260,Z5,0.000187971,44.0765085,-75.9899675,
12874,12874,357,0.404368405,5-Digit ZCTA,356,Z5,0.005966823,43.691873,-73.5511285,142
12821,12821,443,0.22375146,5-Digit ZCTA,442,Z5,0.003039211,43.454061,-73.4101005,2750
12455,12455,1348,0.044816132,5-Digit ZCTA,1347,Z5,9.65E-05,42.2896985,-74.4779335,1988
13774,13774,1552,0.345537123,5-Digit ZCTA,1551,Z5,0.002934014,41.959336,-75.186196,201
12211,12211,1031,0.052573662,5-Digit ZCTA,1030,Z5,0.000151748,42.731828,-73.805565,11303
14204,14204,2293,0.103820976,5-Digit ZCTA,2292,Z5,0.000480385,42.8832575,-78.861457,8691
13068,13068,1152,0.951009462,5-Digit ZCTA,1151,Z5,0.013543918,42.4934135,-76.371962,5368
12804,12804,442,1.141708919,5-Digit ZCTA,441,Z5,0.015310002,43.3522785,-73.689849,
12526,12526,1413,0.614195516,5-Digit ZCTA,1412,Z5,0.009107663,42.1231235,-73.8634155,3686
12204,12204,1053,0.245562533,5-Digit ZCTA,1052,Z5,0.001203029,42.6859785,-73.7286635,7349
10541,10541,1716,0.45858797,5-Digit ZCTA,1715,Z5,0.007495361,41.379629,-73.7541575,26339
14559,14559,555,0.384708188,5-Digit ZCTA,554,Z5,0.005236195,43.2160745,-77.821382,18057
128HH,128HH,519,0.914747594,5-Digit ZCTA,518,Z5,0.000814101,43.151242,-73.5689405,
14738,14738,1501,0.712292006,5-Digit ZCTA,1500,Z5,0.018605181,42.04642427,-79.052958,3651
10279,10279,2386,0.004868519,5-Digit ZCTA,2385,Z5,1.19E-06,40.7130615,-74.008557,
13681,13681,147,0.586575866,5-Digit ZCTA,146,Z5,0.007132237,44.4160875,-75.3674265,
14094,14094,599,0.692975855,5-Digit ZCTA,598,Z5,0.015105923,43.1325615,-78.6429375,50666
12922,12922,239,0.03224855,5-Digit ZCTA,238,Z5,5.35E-05,44.167602,-74.830397,
12946,12946,188,0.064581922,5-Digit ZCTA,187,Z5,0.000229066,44.3272175,-73.9698055,
13624,13624,202,0.421793123,5-Digit ZCTA,201,Z5,0.002536537,44.2795185,-76.1127685,
12788,12788,1587,0.524292724,5-Digit ZCTA,1586,Z5,0.006096272,41.785095,-74.5790295,2908
14059,14059,927,0.530489714,5-Digit ZCTA,926,Z5,0.007520206,42.825559,-78.6261305,8933
12157,12157,1044,0.875009351,5-Digit ZCTA,1043,Z5,0.011250354,42.671184,-74.292371,
10709,10709,1858,0.148465082,5-Digit ZCTA,1857,Z5,0.000429827,40.952898,-73.8097775,9292
128HH,128HH,289,0.164212547,5-Digit ZCTA,288,Z5,0.000351892,43.9501645,-74.4490765,
12851,12851,294,1.053606892,5-Digit ZCTA,293,Z5,0.022825617,43.846532,-74.0714,366
