(11103, 189347147.8304176)
(11104, 232123221.69847506)
(11105, 82262487.47160791)
(11106, 164555836.81140524)
(11201, 128692535.38994382)
(11203, 128664038.45699093)
(11204, 180021888.1400841)
(11205, 109566359.76721966)
(11206, 204626820.42635494)
(11207, 123627842.93997723)
(11208, 99418029.50895582)
(11209, 109336293.30386066)
(11210, 139900593.14710906)
(11211, 172956342.99927643)
(11212, 204464834.46817365)
(11213, 212935692.19878048)
(11214, 125383379.16907163)
(11215, 100902573.26355171)
(11216, 192005995.3267559)
(11217, 168019967.03379038)
(11218, 186721013.18862993)
(11219, 221194321.2535648)
(11220, 206014247.53646693)
(11221, 207879364.35999927)
(11222, 72222482.94850133)
(11223, 134913617.31149518)
(11224, 115868435.39533617)
(11225, 146162491.93044364)
(11226, 267334133.45124546)
(11228, 99311983.83934407)
(11229, 132207836.83935735)
(11230, 170908321.31745458)
(11231, 58943556.62902833)
(11232, 73997764.22817439)
(11233, 188645219.37289876)
(11234, 2458179271.7086835)
(11235, 115993949.05952437)
(11236, 99077164.0313494)
(11237, 178576285.7449626)
(11238, 151105794.3007883)
(11239, 75650852.64662188)
(11354, 90181404.66600606)
(11355, 148659620.6947294)
(11356, 56258176.013825715)
(11357, 51177875.47109136)
(11358, 67778925.0976626)
(11360, 41955493.939070776)
(11361, 53332388.71529461)
(11362, 33408248.68648206)
(11363, 27094197.700792897)
(11364, 44045872.46008084)
(11365, 64382234.0872936)
(11366, 68429489.61067201)
(11367, 80317379.56404336)
(11368, 159067165.58288404)
(11369, 121332759.37371369)
(11370, 222245865.92898303)
(11372, 338142237.3328597)
(11373, 209466941.74525315)
(11374, 181371182.78138533)
(11375, 94078629.493109)
(11377, 123821640.59883194)
(11378, 49514003.7962482)
(11379, 66037539.04390554)
(11385, 97631694.65140873)
(11411, 56207819.90234209)
(11412, 64989361.58320509)
(11413, 46957682.33330639)
(11414, 40514786.31657561)
(11415, 122447041.54374059)
(11416, 133800125.93712832)
(11417, 95484062.36608762)
(11418, 80665328.77084158)
(11419, 150745730.132223)
(11420, 76347362.07935278)
(11421, 116115227.90065497)
(11422, 17468585.25416002)
(11423, 68935632.18390805)
(11426, 39400503.089993976)
(11427, 55570603.8501127)
(11428, 82598615.88713361)
(11429, 69878974.79290995)
(11430, 7419354.838709678)
(11432, 96563606.62506153)
(11433, 73399995.95802635)
(11434, 72241743.31205833)
(11435, 130326915.74764349)
(11436, 77391398.08127627)
(11501, 35876489.54507982)
(11507, 25313254.08272779)
(11509, 8935397.71445123)
(11510, 28239685.268673502)
(11514, 15965424.759562002)
(11516, 28784432.939814024)
(11518, 26211951.79525407)
(11520, 30857152.62119554)
(11530, 12141553.0663732)
(11542, 13704105.776474247)
(11545, 3083846.370518582)
(11547, 6842046.229109326)
(11548, 14699039.803730806)
(11550, 48658999.86721917)
(11552, 21289715.379872132)
(11553, 34419070.76177016)
(11554, 21987235.04119003)
(11557, 52329859.3923502)
(11558, 412315270.9359606)
(11559, 307368421.05263156)
(11560, 2977032.0869160728)
(11561, 38530427.979209274)
(11563, 35340691.68965179)
(11565, 28235462.311018977)
(11566, 1535695652.173913)
(11568, 2064185.0524905717)
(11569, 69207920.79207921)
(11570, 26395925.006488528)
(11572, 1047054794.5205479)
(11575, 32529231.728795126)
(11576, 12941576.620182622)
(11577, 14758871.832172114)
(11579, 16764779.039880605)
(11580, 37681205.70840253)
(11581, 28007357.91076182)
(11590, 26361686.392236643)
(11596, 24761774.24728223)
(11598, 24103401.567227475)
(11691, 1349101123.5955057)
(11692, 67431177.64514616)
(11693, 410896551.7241379)
(11694, 50812810.76410934)
(11697, 6095337.716676629)
(11701, 226631666.0675322)
(11702, 624913793.1034483)
(11703, 18991500.970689572)
(11704, 18852837.065590736)
(11705, 8192698.805580014)
(11706, 1599565217.3913043)
(11709, 16646946.936452545)
(11710, 26320407.624494705)
(11713, 7295020.855441316)
(11714, 14029478.126695018)
(11715, 10977967.828455392)
(11716, 4425746.92751826)
(11717, 20263280.880195957)
(11718, 12179230.545808509)
(11719, 2255958.584396988)
(11720, 12859264.42839955)
(11721, 9340466.845202396)
(11722, 15315769.926893398)
(11724, 3647076.279393226)
(11725, 10579606.366055833)
(11726, 29976540.49255908)
(11727, 11060737.278342329)
(11729, 16063916.416288784)
(11730, 6036464.975209135)
(11731, 12294723.053053781)
(11732, 8906546.18161045)
(11733, 5804557.139461309)
(11735, 10530718.971402887)
(11738, 12152396.202014469)
(11740, 9041231.611986374)
(11741, 13481582.807532916)
(11742, 9589185.718252499)
(11743, 41304167.0945751)
(11746, 10429998.425255848)
(11747, 5548289.704606736)
(11751, 12272842.490728308)
(11752, 9094075.158986494)
(11753, 10516797.200189432)
(11754, 9961280.369741205)
(11755, 13461745.364679953)
(11756, 27975635.157601986)
(11757, 24024636.555087913)
(11758, 2118267716.535433)
(11762, 23655092.668508153)
(11763, 7314069.307387965)
(11764, 4899808.202204691)
(11765, 1161332.2071930112)
(11766, 7900563.575619368)
(11767, 12301768.38978911)
(11768, 5194386.306096918)
(11769, 8008546.043663678)
(11770, 919364.3635582756)
(11771, 35062086.55678888)
(11772, 11768729.516867103)
(11776, 12042277.911028758)
(11777, 275092024.5398773)
(11778, 5738749.405082828)
(11779, 10129526.431918409)
(11780, 395012722.64631045)
(11782, 10648885.752418457)
(11783, 19656491.545252495)
(11784, 15341527.096416099)
(11786, 4279018.442812308)
(11787, 8436129.898288649)
(11788, 6521268.850270179)
(11789, 15353290.991050556)
(11790, 10182667.516735034)
(11791, 7960854.7918625055)
(11792, 3471867.20301441)
(11793, 1297108433.7349398)
(11795, 16455135.260200383)
(11796, 11884321.25172141)
(11797, 6437523.764224713)
(11798, 13013663.20161384)
(11801, 21448821.732868273)
(11803, 16768522.608919088)
(11804, 9989253.079022769)
(11901, 4398867.8079676945)
(11930, 555032.7585045443)
(11932, 555291.1942256072)
(11933, 767368.4956438047)
(11934, 5605909.862403202)
(11935, 1122858.912981493)
(11937, 10730762.261836732)
(11939, 1780252.272897678)
(11940, 3439404.751923855)
(11941, 1637962.4604736401)
(11942, 2155044.2690008376)
(11944, 3706350.800628674)
(11946, 47926304.95956175)
(11947, 3850782.1901323707)
(11948, 1479687.5658810136)
(11949, 1666265.3360326535)
(11950, 14176795.12753277)
(11951, 10346251.52584521)
(11952, 1606493.8799408262)
(11953, 4878038.246152151)
(11954, 588337.4743376251)
(11955, 4326148.108347293)
(11956, 3974943.052391799)
(11957, 511049.81875958655)
(11958, 980872.2193817262)
(11959, 17103825.13661202)
(11960, 3043746.8411298925)
(11961, 456725978.64768684)
(11962, 334601.9760481881)
(11963, 1480251.2090469236)
(11964, 980352.3253292333)
(11965, 3427713.1248034197)
(11967, 7054698.527942397)
(11968, 510704845.814978)
(11970, 6516853.93258427)
(11971, 1815971.371451669)
(11972, 5984144.960362401)
(11975, 556167.4609319621)
(11976, 474773.1630904972)
